stop_name,stop_ids,max_distance_m,example_stop_id_a,example_stop_id_b
IKEA,2,93.92157574209106,9022005000429002,9022005000429001
Eriksberg,2,93.41027414239527,9022005003652001,9022005003652002
Bleckenstad,2,93.39338662064647,9022005001822001,9022005001822002
Hyddmarken,2,93.34296688283291,9022005002256001,9022005002256002
Åsmestad,2,93.13890634729599,9022005003157002,9022005003157001
Högaskog,2,93.0385578065021,9022005003958002,9022005003958001
Brunnstorp,2,92.86250786799324,9022005004544001,9022005004544002
Marielundsskolan,2,92.86171230646995,9022005001350002,9022005001350001
Vårgård,2,92.85508042778608,9022005001435002,9022005001435001
Vissvik,2,92.54632719095534,9022005002725002,9022005002725001
Bergsbadsvägen,2,91.888422148907,9022005002690001,9022005002690002
Stora Bjärby,2,91.78950440142475,9022005001483001,9022005001483002
Öjebro,2,91.78430193209464,9022005003208002,9022005003208001
Järdalavägen 50,2,91.7754799228723,9022005003559001,9022005003559002
Vallaplan,2,91.68687519543758,9022005001254002,9022005001254001
Hässelbyvägen,2,91.57991189239141,9022005002396002,9022005002396001
Torgvägen,2,91.56214830596879,9022005000158001,9022005000158002
Getå Turisthotell,2,91.2359743985233,9022005001619001,9022005001619002
Alsättersgatan,2,91.09379200113062,9022005001338001,9022005001338002
Grandalen,2,90.86149895067543,9022005003200002,9022005003200001
Stationsvägen,2,90.84672380968328,9022005002564002,9022005002564001
Ståthögavägen,2,90.76954395041027,9022005001120002,9022005001120001
Torpängen,2,90.5802230031813,9022005002568002,9022005002568001
Vårdnäs vägkors,2,90.27458512752287,9022005002969002,9022005002969001
Kattfotstigen,2,89.92793903435484,9022005001330001,9022005001330002
Haneberg,2,89.87791516845866,9022005002908002,9022005002908001
Vammelby,2,89.67040098298368,9022005003344002,9022005003344001
Norrsten,2,89.46457298504066,9022005002380002,9022005002380001
Smedgrundsvägen,2,89.41209772337072,9022005002310002,9022005002310001
Skälboö,2,89.37567848978455,9022005002007001,9022005002007002
Poleraregatan,2,89.29475683645998,9022005001303001,9022005001303002
Ullstämma by,2,89.12306096329868,9022005001598002,9022005001598001
Björke vägskäl,2,89.06977982740071,9022005002051001,9022005002051002
Lerbäck,2,89.01046751693707,9022005003078002,9022005003078001
