derived_transition_activity,old_trip_id,next_trip_id,old_route_short_name,next_route_short_name,route_short_name_changed,old_direction_id,next_direction_id,time_gap_minutes,old_last_stop_sequence,next_first_stop_sequence,old_last_stop_name,next_first_stop_name,old_last_stop_lat,old_last_stop_lon,transition_distance_m,transition_distance_km,threshold_m
repositioning_pause,tr03_668,tr03_495,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_671,tr03_673,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_672,tr03_675,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_675,tr03_686,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_7779,tr03_8271,301,305,True,1,1,117.51666666666667,19,1,Borens IP,Bråstorp norra,58.568637,15.088519,4004.8252570533036,4.004825257053303,75
repositioning_pause,tr03_6747,tr03_6973,15,16,True,1,1,,17,1,Klarinettgatan,Berga centrum,58.363448,15.683237,4010.6573379252627,4.010657337925263,75
repositioning_pause,tr03_708,tr03_711,3,3,False,0,0,,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
repositioning_pause,tr03_709,tr03_713,3,3,False,0,0,,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
repositioning_pause,tr03_710,tr03_714,3,3,False,0,0,,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
repositioning_pause,tr03_711,tr03_720,3,3,False,0,0,,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
repositioning_pause,tr03_713,tr03_716,3,3,False,0,0,,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
repositioning_pause,tr03_714,tr03_719,3,3,False,0,0,,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
repositioning_pause,tr03_716,tr03_776,3,3,False,0,0,,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
repositioning_pause,tr03_719,tr03_774,3,3,False,0,0,,21,1,Vidablick,Klockaretorpets vändplats,58.608719,16.151391,4012.5027244977105,4.01250272449771,75
